"","score","text"
"1",0,"RT @Takesoup: ‰∫∫Èñì„Éá„ÉÉ„Éâ„É™„Éï„ÉàÔºÅ
„Åì„Çå„ÅØÁôΩÊóó3Êú¨„Åß„Åô„Åã„Å≠ÔºÅ

#powerlifting
#deadlift
#prowrestling 
#goldgym https://t.co/Uf3L3AV7ut"
"2",0,"Toda conquista come√ßa com a decis√£o de tentar. Bicampe√£o Brasileiro! #powerlifting #ipf‚Ä¶ https://t.co/3yFuRGVOim"
"3",0,"2 months later it's finally here. #bestbelts #powerlifting #weightlifting #olympiclifting #squat‚Ä¶ https://t.co/uuFYMtzisV"
"4",-1,"DISTRESSED #gym baseball caps
Ì†ΩÌ¥Ω
https://t.co/kOEDQEYj9s‚Ä¶

#workout #bodybuilding #weightlifting #powerlifting‚Ä¶ https://t.co/Micjrs8Dvo"
"5",0,"#weightlifter #powerlifting jchickey_9 #multisportathlete #whateverittakes @ The Weight Room https://t.co/l73wtXvAWr"
"6",0,"RT @MuscleGear: Lifting Heavy Iron?
Hardcore #deadlift #gym tees

https://t.co/vhpD0W1fVs

#powerlifting #workout #gym #bodybuilding #Cross‚Ä¶"
"7",0,"Seriously, where you @ though?Ì†æÌ¥î
.
#powerlifter #powerlifting #powerliftingmotivation #fitness‚Ä¶ https://t.co/rKtjpbcaI3"
"8",0,"Lifter of the day: CT Fletcher #CTFletcher #isymfs #strictcurl #powerlifting #powerlifter #bodybuilding‚Ä¶ https://t.co/GoBZpcdIPe"
"9",0,"RT @RekoMnd: @M_Craddock22 Our protein of choice is Trutein   https://t.co/8TFRiJnM8U Ì†ΩÌ±ç#reko #fitness #preworkout #lifting #powerlifting #c‚Ä¶"
"10",0,"@M_Craddock22 Our protein of choice is Trutein   https://t.co/8TFRiJnM8U Ì†ΩÌ±ç#reko #fitness #preworkout #lifting #powerlifting #crossfit Ì†ºÌøãÔ∏è‚Äç‚ôÇÔ∏è"
"11",1,"@M_Craddock22 We highly recommend Alpha Gx7 Pre-workout Ì†ΩÌ±ç   https://t.co/JnOXVbW3hp #reko #fitness #preworkout‚Ä¶ https://t.co/NWACsgei8g"
"12",0,"@KVLTLand Do both! #powerlifting"
"13",1,"#PowerLifting #BodyBuild #Muscle #Blog My most productive workout secret https://t.co/DoQR9XOpkR"
"14",-1,"barbelljoe kills it at @apollongym #EVERY #SINGLE #DAY Ì†ΩÌ≤™Ì†ºÌøãÔ∏è#apollon #apollongym #powerlifting‚Ä¶ https://t.co/rrj7gwVrRc"
"15",0,"Only $49! Join Today! https://t.co/IPKg4vwgvx #powerlifting #powerlifter #bodybuilding #bodybuilder #weightlifting #weightlifter #crossfit"
"16",0,"Online Coach &amp; Referee Cert! https://t.co/ydy16Vj7uf #powerlifting #powerlifter #bodybuilder #crossfit #crossfitter #rawpowerlifting"
"17",1,"https://t.co/gbQnH22tSz New video on how to lift better. #wisdomandweights #powerlifting #frontsquat #backsquat‚Ä¶ https://t.co/kyWOU6JKQw"
"18",1,"One Food That Destroys Gains see: https://t.co/nyxpLhC8j5 #musclefood #musclebuilding #weightlifing #bodybuilding‚Ä¶ https://t.co/hmAvcCiKig"
"19",1,"Top 5 Freakiest #Bodybuilders Ever in #bodybuilding watch: https://t.co/e5PXK5q0tO #musclebuilding #weightlifing‚Ä¶ https://t.co/kKs9F3zu7z"
"20",0,"Pull-ups to end Squat Sunday. Ì†ΩÌ∏ã
.
.
.
.
#lift #lifting #fit #fitfam #powerlift #powerlifting‚Ä¶ https://t.co/BWlVNQKi9V"
"21",0,"#Powerlifting #pressdebanca #record #Brasil2017 https://t.co/1g7bqFzQkr"
"22",2,"RT @TheMarcKessler: Got my sack in today! Ready to jump on the gain Ì†ΩÌ∫Ö. It's gonna be a great day in the gym. @maxeffortmuscle #powerlifting‚Ä¶"
"23",-1,"RT @StrengthForBB: Rest day, boring! By rest, will be cleaning, walking and other 'none training.' #gym #bodybuilding #powerlifting #gymlif‚Ä¶"
"24",0,"RT @AboutGains: Stop competing with others. Start competing with yourself.

#aboutgains #bodybuilding #powerlifting #mma #kickboxing #boxin‚Ä¶"
"25",0,"RT @ih8cardio: Mind is everything! If you don't believe you can do something then you can't! -Kai Greene

#bodybuilding #powerlifting #fitn‚Ä¶"
"26",0,"RT @ih8cardio: Me trying to attempt cardio!

#bodybuilding #powerlifting #fitness https://t.co/42yi7NcH1V"
"27",1,"RT @BodyBuildTweets: #PowerLifting #BodyBuild #Muscle #Girls Navigating The Gym When You Feel Like You Don't Belong https://t.co/pZW1kBlh8O"
"28",-1,"Block pulls feeling stupid heavy today! Must have been those box squats...#powerlifting #thehanger #bodybuilding... https://t.co/c8IRz8APWy"
"29",-1,"Block pulls feeling stupid heavy today! Must have been those box squats...#powerlifting‚Ä¶ https://t.co/GSwkSMGejc"
"30",1,"Forever flex'n on em.
‚Ä¢
#gym #gymlife #flex #showem #gymrat #gymtime #gymlifestyle #work #workhard #powerlifter‚Ä¶ https://t.co/WkoSoGqtn6"
"31",0,"Box squat cardio today! #liftingheavyshit #thehanger #squatsfordays #squats #powerlifting #bodybuilding https://t.co/Myz223RfxT"
"32",0,"Box squat cardio today! #liftingheavyshit #thehanger #squatsfordays #squats #powerlifting‚Ä¶ https://t.co/agojRzYvUC"
"33",1,"Proper fit bitches at Darkside Training Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç#girlswholift #powerlifting #darksidenightout‚Ä¶ https://t.co/bG0pOhgDVW"
"34",-1,"I may have just switched to the dark side #powerlifting"
"35",0,"Check out our official website here! https://t.co/CE4f6ELUz6 #fitness #gym #fatloss #weightloss #bodybuilding #powerlifting"
"36",0,"#Strongman Competition highlights.

https://t.co/Bht2Vc0hqp

#Powerlifting #Deadlift #Atlas # Loglif #Strength"
"37",0,"Ì†æÌ¥î Nem sei quanto levantou.

#powerlifting
#campeonato #Brasil #esporte #deadlift‚Ä¶ https://t.co/gtECOiMGiF"
"38",0,"Royal blue restocked. #freakathlete #freakathleteapparel #crossfit #weightlifting #PowerLifting... https://t.co/q7w87XXzGz"
"39",0,"Me trying to attempt cardio!

#bodybuilding #powerlifting #fitness https://t.co/42yi7NcH1V"
"40",0,"#fitness #fitnessgear #powerlifting #bodybuilding #bodypower #Arnoldclassic #NPC #IFBB #USAPL‚Ä¶ https://t.co/e3Usv02wmQ"
"41",0,"RT @LiftoutStrength: @JustinGuinn10 hitting 340+100 in bands for 5 sets of 2 #liftoutstrength #powerlifting #squat #bench #deadlift #LST ht‚Ä¶"
"42",0,"@JustinGuinn10 hitting 340+100 in bands for 5 sets of 2 #liftoutstrength #powerlifting #squat #bench #deadlift #LST https://t.co/RKdv2ydp3z"
"43",-2,"I should workout angry more often. Frustration adds 10 lbs to each rep. #Powerlifting"
"44",2,"The work is never done! Love gettin a lift in with my big boy! #simmonsstrength #powerlifting‚Ä¶ https://t.co/fQqLuPHYqX"
"45",1,"How cute is @thejuliethour in her donut singlet? Ì†ΩÌ∏çÌ†ºÌΩ© #sbwcspringclassic2017 #sbwc #powerlifting https://t.co/LQnOXLrp2W"
"46",-1,"Killer #Ab Workout From Home see: https://t.co/ydX76ZInGB #abs #abworkout #musclebuilding #weightlifing‚Ä¶ https://t.co/o3fgvL0VGP"
"47",1,"@keepnitawesome Trutein is the best tasting protein powder  in our opinion!  https://t.co/8TFRiJnM8U Ì†ΩÌ±ç#reko‚Ä¶ https://t.co/M8CC7kcSRW"
"48",0,"Broke my 1250lb three lift barrier. .. finally.  330lb bench,  540lb deadlift, 405lb squat. #gains #bodybuilding #powerlifting #muscles"
"49",1,"255kg, best French Bench press RAW ! #powerlifting #tagsforlikes #instafit #motivation #fit‚Ä¶ https://t.co/zMjV48ilat"
"50",0,"Lifting Heavy Iron?
Hardcore #deadlift #gym tees

https://t.co/vhpD0W1fVs

#powerlifting #workout #gym‚Ä¶ https://t.co/L2ELbSKPqq"
"51",-1,"You know it was a good workout when after you lie on the floor and struggle to open locker door. #gym #kettlebells‚Ä¶ https://t.co/BTd6qttUv5"
