text,sentiment
"RT @funder: Corey Lewandowski introd Carter Page to Trump 2016 team: report

#trumpleaks #trumprussia #russiagate #trumpcolluded https://t.…",neutral
"RT @TheLastRefuge2: Extra, Extra context: New York Times is owned by a Mexican billionaire Carlos Slim who is a staunch political opponent…",positive
@MattGielen @MACA_Org @MickieMo @dirtybirderic @Mikel_Jollett @itsBraxtonR @realDonaldTrump She's not but trump is… https://t.co/xAvgBh6mnH,neutral
@DualDaniel Still not sure how Trump is involved. Please explain that part and only that part. Everything else is irrelevant.,negative
"RT @thenation: 300,000 registered voters in Wisconsin lacked strict voter ID—Trump won the state by 27,000 votes. https://t.co/7hOvUbcccT",neutral
"RT @BryanDawsonUSA: What would make Ted Nugent's Trump visit even more special? Bill O'Reilly.

https://t.co/KcEXVMd79v https://t.co/TUuqOH…",positive
"RT @rosannecash: Every single day, a new precedent of disgrace and cheapness in the Trump White House. https://t.co/tnIGgRRgPt",positive
"RT @Mikel_Jollett: BATSHIT, LEVEL 10: The United States currently does not have an Assistant Secretary of State for Europe so Trump is send…",neutral
"Trump’s Vow to Repeal Health Law Revives Talk of High-Risk Pools - NYTimes-often underfunded &amp; costly😌
@GOPHouse  https://t.co/tFDvPurFP5",positive
"RT @NolteNC: Things Jake Tapper doesn't want you to know...

BOMBSHELL Report: Entire Western World Helped Obama WIRETAP Trump 

https://t.…",neutral
RT @olgaNYC1211: Putin invested lots of money to put Trump into the WH for the Rosneft-Exxon deal. Stop the Exxon Waiver!! It was in Dossie…,neutral
"RT @USARedOrchestra: Some local news on how Trump is making America great again as Harley-Davidson announces 118 layoffs at York plant.
htt…",positive
RT @TrueFactsStated: WikiLeaks is a intelligence asset of a hostile foreign government. Trump worked hand in glove with them. @LouiseMensch,negative
"This is what DICTATOR$ DO!  CIA liaison is first casualty of conflict between intelligence agency and Trump

https://t.co/xkpVbG5Y0Q",positive
RT @CharlesPPierce: And now Will gets to pretend Trump isn't a logical product of the 40 years in which people thought he was smart.,positive
RT @nytimes: Who else is on the Trump inauguration donor list? Casino owners. Pro-team owners. And more. https://t.co/8FUQQb8Rtl,positive
"Release everything you got on #Trump and #GOP first, then we'll talk. https://t.co/UjaTf5fNAd",positive
RT @RealMuckmaker: Trump Took Half A Million Dollars From Venezuelan Dictator While Country Starved https://t.co/IY18l1vqr7 via @Bipartisan…,negative
RT @MSNBC: Excess Trump inauguration cash pairs with donor access https://t.co/Vz2kiBJblo https://t.co/0YwTebNssT,neutral
